id,year,sch_grade,sch_type,city,edu_dept,state,name,origin,status,establish,postal,address,phone,fax,homepage
1,2013,고등학교,일반고,강원,강원,삼척시,가곡고등학교,본교,기존(원)교,공립,245-812,강원도 삼척시 가곡면 가곡천로 1427 (가곡면_가곡중고등학교),033-572-7006,033-572-2033,http://www.gagog.hs.kr
2,2013,고등학교,일반고,서울,서울시,송파구,가락고등학교,본교,기존(원)교,공립,138-854,서울특별시 송파구 송이로 42 (송파동_가락고등학교),02-416-4657,02-421-9669,http://www.garak.hs.kr
3,2013,고등학교,일반고,인천,인천시,서구,가림고등학교,본교,기존(원)교,공립,404-808,인천광역시 서구 원적로 58 (가좌동_가림고등학교),032-584-1755,032-584-1756,www.garim.hs.kr
4,2013,고등학교,일반고,부산,부산시,부산진구,가야고등학교,본교,기존(원)교,사립,614-803,부산광역시 부산진구 엄광로 152 (가야동_가야고등학교),051-893-1881,051-892-1888,http://www.gaya.hs.kr
5,2013,고등학교,일반고,경기,경기,안성시,가온고등학교,본교,기존(원)교,사립,456-140,경기도 안성시 샛터길 46 (발화동_가온고등학교),031-674-5022,031-674-5027,www.gaon.hs.kr
6,2013,고등학교,일반고,경기,경기,남양주시,가운고등학교,본교,기존(원)교,공립,472-060,경기도 남양주시 가운로2길 115 (가운동_가운고등학교),031-567-2913,031-567-2917,http://www.gaun.hs.kr
7,2013,고등학교,일반고,경북,경북,문경시,가은고등학교,본교,기존(원)교,공립,745-901,경상북도 문경시 가은읍 가은로205 (가은읍),054-572-0101,054-572-0105,http://gago.hs.kr
8,2013,고등학교,일반고,서울,서울시,서대문구,가재울고등학교,본교,신설(원)교,공립,120-811,서울특별시 서대문구 수색로 100-35 ,02-307-6606,02-307-6605,http://www.gajaeul.hs.kr
9,2013,고등학교,일반고,인천,인천시,서구,가정고등학교,본교,기존(원)교,공립,404-823,인천광역시 서구 서달로 162 (석남동_가정고등학교),032-579-9186,032-576-9120,http://www.gajeong.hs.kr/
10,2013,고등학교,특성화고(직업),경남,경남,거창군,가조익천고등학교,본교,기존(원)교,공립,670-914,경상남도 거창군 가조면 마상3길 33-20 ,055-943-4521,055-943-4519,www.kajo.hs.kr
11,2013,고등학교,일반고,경기,경기,고양시,가좌고등학교,본교,기존(원)교,공립,411-440,경기도 고양시 일산서구 가좌1로 43 (가좌동_가좌고등학교),031-910-1925,031-921-0659,http://gajwa-h.hs.kr/
12,2013,고등학교,일반고,인천,인천시,서구,가좌고등학교,본교,기존(원)교,공립,404-814,인천광역시 서구 장고개로287번길 24 (가좌동_가좌고등학교),032-720-0690,032-720-0770,http://gajwa.icehs.kr
13,2013,고등학교,일반고,경북,경북,성주군,가천고등학교,본교,기존(원)교,공립,719-883,경상북도 성주군 가천면 창천5길 13 (가천면_가천고등학교),054-931-7122,054-932-4245,http://www.gacheon.hs.kr
14,2013,고등학교,일반고,경기,경기,가평군,가평고등학교,본교,기존(원)교,공립,477-804,경기도 가평군 가평읍 호반로 2607-7 (가평읍),031-580-7004,031-580-7005,www.gapyong.hs.kr
15,2013,고등학교,일반고,강원,강원,화천군,간동고등학교,본교,기존(원)교,공립,209-822,강원도 화천군 간동면 파로호로 945-21 (간동면_간동중 고등학교),033-440-1912,033-440-1919,http://k100400002.school2.gweduone.net/
16,2013,고등학교,특성화고(대안),경남,경남,산청군,간디고등학교,본교,기존(원)교,사립,666-963,경남 산청군 신안면 둔철산로 210 (신안면_간디학교),055-973-8124,055-973-1204,www.gandhischool.net
17,2013,고등학교,일반고,충남,충남,홍성군,갈산고등학교,본교,기존(원)교,공립,350-853,충청남도 홍성군 갈산면 상촌로9번길 39 (갈산면_갈산중학교),041-634-5308,041-634-5670,http://galsan.cnehs.kr
18,2013,고등학교,일반고,경북,경북,예천군,감천고등학교,본교,기존(원)교,공립,757-913,경상북도 예천군 감천면 충효로 1429 (감천면_감천중고등학교),054-652-6516,054-652-6561,http://kamch.hs.kr/
19,2013,고등학교,일반고,경북,경북,경주시,감포고등학교,본교,기존(원)교,공립,780-832,경상북도 경주시 감포읍 감포로12길 20 (감포읍_감포중학교/감포종합중고등학교),054-744-3631,054-744-3632,http://gampohs.school.gyo6.net
20,2013,고등학교,일반고,강원,강원,횡성군,갑천고등학교,본교,기존(원)교,공립,225-843,강원도 횡성군 갑천면 갑천로 17 (갑천면),033-342-9142,033-342-8125,www.kach.hs.kr
21,2013,고등학교,자율고,충남,충남,논산시,강경고등학교,본교,기존(원)교,공립,320-901,충청남도 논산시 강경읍 계백로 188 (강경읍_강경고등학교),041-745-1903,041-745-1504,http://ganggyeong.cnehs.kr
22,2013,고등학교,특성화고(직업),경북,경북,영덕군,강구정보고등학교,본교,기존(원)교,공립,766-823,경상북도 영덕군 강구면 신강구1길 1 (강구면),054-733-3944,054-734-1334,http://www.ganggu-ch.hs.kr
23,2013,고등학교,특성화고(직업),인천,인천시,강화군,강남영상미디어고등학교,본교,기존(원)교,공립,417-841,인천광역시 강화군 길상면 강화남로 57 (길상면_강남영상미디어고등학교),032-937-3652,032-937-7421,http://www.kangnam.icehs.kr
24,2013,고등학교,자율고,대구,대구시,동구,강동고등학교,본교,기존(원)교,공립,701-869,대구광역시 동구 금강로 65 (신서동_강동고등학교),053-662-1505,053-662-1599,http://www.gangdong.hs.kr
25,2013,고등학교,일반고,서울,서울시,강동구,강동고등학교,본교,기존(원)교,사립,134-837,서울특별시 강동구 구천면로 572 (상일동_강동고등학교),02-427-0233,02-441-3494,http://kangdong.hs.kr
26,2013,고등학교,일반고,강원,강원,강릉시,강릉고등학교,본교,기존(원)교,공립,210-120,강원도 강릉시 강릉대로587번길 68 (초당동_강릉고등학교),033-650-5103,033-652-7142,http://125.244.239.145/ganggo
27,2013,고등학교,일반고,강원,강원,강릉시,강릉명륜고등학교,본교,기존(원)교,사립,210-920,강원도 강릉시 율곡로 2920-8 (교동_강릉명륜고등학교),033-650-4506,033-644-4017,http://grmr.hs.kr
28,2013,고등학교,일반고,강원,강원,강릉시,강릉문성고등학교,본교,기존(원)교,사립,210-320,강원 강릉시 지변길 158 _ 산54번지  (지변동_문성고등학교),033-645-9376,033-645-9377,http://kms.hs.kr/
29,2013,고등학교,일반고,강원,강원,강릉시,강릉여자고등학교,본교,기존(원)교,공립,210-933,강원도 강릉시 용지로 107 (옥천동_관사동),033-650-9905,033-642-5424,http://www.gn-girl.hs.kr/
30,2013,고등학교,특성화고(직업),강원,강원,강릉시,강릉정보공업고등학교,본교,기존(원)교,공립,210-801,강원 강릉시 주문진읍 학교길 26 (주문진읍_강릉정보공업고등학교),033-660-5555,033-661-2047,www.git.hs.kr
31,2013,고등학교,일반고,강원,강원,강릉시,강릉제일고등학교,본교,기존(원)교,공립,210-923,강원도 강릉시 화부산로8번길 37 (교동_강릉제일고등학교),033-650-0108,033-641-5119,gnilgo.hs.kr
